,OrigMID,ProsperRating,Term,CycleCounter,LoanAmount,AvgBorrowerRate,PrevUPB,UPB,ScheduledMonthlyPaymentAmount,ScheduledPeriodicPrin,ScheduledInterest,PrincipalPaid,FullPaydowns,VoluntaryExcessPrin,ExpectedPrinPaid,InterestPaid,SVC_Fees,TotalFees,CO_Balance,RecoveryPrinPaid,NetCO_FromSettlement,GrossCashFromDebtSale,NetCashToInvestorsFromDebtSale,DPD_1,DPD_16,DPD_31,DPD_61,DPD_91,CumulativeGrossLosses,CumulativeGrossLossesPct,CumulativeNetLosses,CumulativeNetLossesPct,FICO,Income
19497,201806,A,36,10,42141731,0.095983452,28765364.81,27092713.39,1200166.72,968445.979529688,230094.094742617,1578367.69,564181.2647,63889.803,100032.8223,233684.51,-26059.06,-27175.1,93783.73,0,0,6891.82,6547.22,0.021553976,0.016831653,0.013936088,0.008381154,0.003187381,515568.46,0.012234155,492364.64,0.011683541,715,98697
19498,201806,A,36,11,42141731,0.0959749,27092713.39,25184431.11,1169607.2,951746.647022258,216603.911031064,1799027.31,766465.4308,120321.1447,814867.3545,207191.86,-23137.32,-24538.09,108754.97,0,0,9344.55,8877.31,0.026037093,0.020753794,0.015976372,0.009797347,0.004328251,624323.43,0.01481485,592242.3,0.014053583,715,98697
19499,201806,A,36,12,42141731,0.0959749,25184431.11,23412498.97,1129187.5,926487.425090119,201401.603786758,1589032.13,673219.6563,85333.9036,95758.1401,184899.95,-20640.87,-21972.63,182400.01,10418,0,6007.3213,5707.02,0.024239129,0.019173485,0.01715438,0.009185647,0.003698893,806723.44,0.019143102,758517.29,0.017999196,715,98697
19500,201806,A,36,13,42141731,0.0959749,23412498.97,21768869.31,1087082.74,898864.218320576,187232.859968852,1477926.38,474314.22,136408.5387,755002.3113,190134.23,-21197.96,-23122.4,165203.28,250,0,15117.45,14362.56,0.023830204,0.020039404,0.016796672,0.009962585,0.003797335,971926.72,0.023063284,909108.01,0.021572631,715,98697
19501,201806,A,36,14,42141731,0.095983452,21768869.31,20164552.61,1054774.08,880173.887433608,174155.408718142,1454235.23,594028.4202,46026.5935,97272.2863,165765.45,-18499.37,-20634.77,149581.47,514,0,15472.0041,14698.62,0.02252556,0.018638566,0.014718345,0.009460504,0.004374914,1121508.19,0.02661277,1043476.86,0.02476113,715,98697
19502,201806,A,36,15,42141731,0.095983452,20164552.61,18813903.25,1015178.86,852862.065434401,161326.83046057,1139955.1,349752.9606,37785.6238,85367.6556,145031.59,-16187.83,-17852.11,207194.26,0,0,14254.819,13541.39,0.02075614,0.0148746,0.011046617,0.007005282,0.002741318,1328702.45,0.031529375,1237129.73,0.029356405,715,98697
19503,201806,A,36,16,42141731,0.095983452,18813903.25,17366080.53,984525.5,833542.918078263,150459.517947595,1299873.19,342022.77,86131.4831,110689.6469,158774.68,-17681.14,-19878.44,147949.53,1072.98,6413.37,24744.2129,23507.69,0.023796884,0.018111406,0.012800577,0.006367027,0.003104901,1476651.98,0.035040136,1360498.59,0.03228388,715,98697
19504,201806,A,60,0,17991280,0.096829321,17991280,17870230.71,0,0,145173.618838734,121049.29,91901,29148.29,0,377.2278,-42.3692,-42.3692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,117654
19505,201806,A,60,1,17991280,0.096829321,17870230.71,17487886.14,377530.96,233369.599967363,144161.360032637,382344.57,84855.8364,73988.1468,220076.0668,137078,-15179.18,-15179.18,0,0,0,0,0,0.001500727,0.00066699,0,0,0,0,0,0,0,750,117654
19506,201806,A,60,2,17991280,0.096829321,17487886.14,17110784.27,375210.23,234151.562953484,141058.667046516,377101.87,118378.9671,29595.0602,14289.5027,143904.86,-15908.44,-15897.03,0,0,0,0,0,0.001543073,0.001543073,0.000555825,0,0,0,0,0,0,750,117654
19507,201806,A,60,3,17991280,0.096829321,17110784.27,16785213.61,372627.14,234652.750914518,137974.389085482,325570.66,88694.3935,23899.9435,13397.503,130393.85,-14465.85,-14529.41,0,0,0,0,0,0.001530944,0.000555825,0.000555825,0.000555825,0,0,0,0,0,750,117654
19508,201806,A,60,4,17991280,0.096829321,16785213.61,16420099.02,370647.19,235061.19370334,135345.14646566,365114.59,96297.6294,22172.6177,17309.1029,141118.54,-15605.26,-15590.26,0,0,0,0,0,0.008005245,0.00447591,0.001807227,0.000555825,0.000555825,0,0,0,0,750,117654
19509,201806,A,60,5,17991280,0.096829321,16420099.02,15898726.19,368007.72,235547.593641058,132369.716869923,511372.83,285140.1961,7154.6486,14886.1953,128588.68,-14239.86,-14239.86,10000,0,0,0,0,0.010429423,0.010218899,0.006534733,0.001251402,0,10000,0.000555825,10000,0.000555825,750,117654
19510,201806,A,60,6,17991280,0.096829321,15898726.19,15608141.13,360290.62,232044.049523254,128246.570476746,290585.06,62263.6416,8186.1917,15616.9367,120766.85,-13375.61,-13452.27,0,0,0,0,0,0.015704385,0.013722165,0.010582299,0.005197493,0.001251402,10000,0.000555825,10000,0.000555825,750,117654
19511,201806,A,60,7,17991280,0.096829321,15608141.13,15227070.33,358055.32,232163.662201094,125891.657798906,381070.8,131401.7241,5222.647,13581.3289,137069.17,-15153.4,-15411.46,0,0,0,0,0,0.01470994,0.012915194,0.012915194,0.009513584,0.005197493,10000,0.000555825,10000,0.000555825,750,117654
19512,201806,A,60,8,17991280,0.096829321,15227070.33,14672041.92,354973.94,232186.591358554,122787.348641446,484033.18,253860.0611,20116.9388,15461.6701,113823.45,-12624.47,-12863.38,70995.23,0,0,0,0,0.016614123,0.012753152,0.010736058,0.008941312,0.005539702,80995.23,0.004501916,80995.23,0.004501916,750,117654
19513,201806,A,60,9,17991280,0.096829321,14672041.92,14090471,347408.64,228979.886387617,118428.753612383,503918.92,233233.7187,46114.6562,196720.4351,112308.63,-12401.08,-12730.33,77652,0,0,9941.52,9444.44,0.01557837,0.014202984,0.010645803,0.005587026,0.002052303,158647.23,0.008818007,149202.79,0.008293061,750,117654
19514,201806,A,60,10,17991280,0.096829321,14090471,13600306.75,340107.4,226359.832298545,113747.567701455,457949.8,196542.522,37271.3534,23071.6646,117417.27,-12976.03,-13396.12,32214.45,0,0,7685.2,7300.94,0.012888481,0.011524153,0.010783495,0.006403479,0.00205649,190861.68,0.010608566,174116.3,0.009677816,750,117654
19515,201806,A,60,11,17991280,0.096829321,13600306.75,13177415.64,334590.66,224760.325460607,109796.945074854,385892.23,127133.7287,42600.6033,194763.238,104860.87,-11610.67,-12012.98,36998.88,0,0,3530.72,3354.18,0.014332693,0.010115266,0.007463194,0.007102623,0.003781599,227860.56,0.012665056,207761,0.011547872,750,117654
19516,201806,A,60,12,17991280,0.096829321,13177415.64,12741774.04,330003.49,222943.828299446,106354.499512216,367605.79,160026.4301,9105.3862,16257.4237,98144.06,-10875.94,-11000.58,68035.81,0,0,7299.29,6934.33,0.017152651,0.010521134,0.00791773,0.003676037,0.002761192,295896.37,0.016446655,268862.48,0.014944044,750,117654
19517,201806,A,60,13,17991280,0.096829321,12741774.04,12261908.08,323154.17,220211.062874567,102858.823282631,448084.52,207027.9821,23933.0511,192407.9968,107343,-11851.31,-12210.02,31781.44,0,0,7654.02,7271.31,0.016193577,0.012446077,0.010590023,0.006056876,0.002047695,327677.81,0.018213146,293372.61,0.016306378,750,117654
19518,201806,A,60,14,17991280,0.096829321,12261908.08,11860458.03,316509.87,217594.810248872,98915.059751128,364609.39,151298.3677,14230.8459,16515.0464,93585.82,-10372.58,-10715.36,36840.66,0,0,4149.26,3941.8,0.018276831,0.01574674,0.012301497,0.00826934,0.002049532,364518.47,0.020260841,326271.47,0.018134978,750,117654
19519,201806,A,60,15,17991280,0.096829321,11860458.03,11491291.51,311309.41,215630.86992562,95678.54007438,332292.81,117714.7229,21866.2686,16209.5185,87997.26,-9765.78,-9923.63,36873.71,0,0,4732.41,4495.78,0.020342294,0.016856788,0.015936053,0.009144275,0.00621425,401392.18,0.022310374,358649.4,0.019934624,750,117654
19520,201806,A,60,16,17991280,0.096829321,11491291.51,10996517.8,307083.95,214360.555779016,92723.394220984,421957.94,158258.4662,36483.5089,24598.1849,98738.59,-10885.57,-10977.73,72815.77,0,0,1944.3,1847.08,0.018029151,0.016855778,0.014085294,0.01187685,0.00437939,474207.95,0.026357655,429618.09,0.02387924,750,117654
19521,201806,AA,36,0,26775370,0.071388604,26775370,26634486.75,0,0,159288.024848229,140883.25,69158,71725.25,0,1464.0904,-227.7184,-227.7184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,114225
19522,201806,AA,36,1,26775370,0.071388604,26634486.75,25635994.26,826390.48,667908.617190376,158481.862809624,998115.3,260728.7425,91738.0324,635490.0151,152492.3,-22849.07,-22891.24,0,0,0,0,0,0.000933694,0,0,0,0,0,0,0,0,750,114225
19523,201806,AA,36,2,26775370,0.071388604,25635994.26,24682888.81,817130.27,664627.188701433,152503.081298567,952728.89,198380.4282,97350.6601,60261.2117,155657.17,-23273.39,-23321.77,0,0,0,0,0,0.001152056,0.000933694,0.000933694,0,0,0,0,0,0,750,114225
19524,201806,AA,36,3,26775370,0.071388604,24682888.81,23794600.5,809861.36,662488.032261057,146795.461780782,887909.53,188054.8534,103438.0769,57475.2097,135871.67,-20377.66,-20476.69,0,0,0,0,0,0.001929099,0.001679859,0.000933694,0.000933694,0,0,0,0,0,750,114225
19525,201806,AA,36,4,26775370,0.071388604,23794600.5,22764355.43,801881.81,659518.167609361,141554.90388349,1029861.42,273402.1323,61465.7714,68992.2363,150694.24,-22534.79,-22534.79,0,0,0,0,0,0.005109563,0.00340142,0.002035924,0.000933694,0.000933694,0,0,0,0,750,114225
19526,201806,AA,36,5,26775370,0.071388604,22764355.43,21777629.1,790170.32,654675.431851389,135345.47485103,961726.33,252735.0494,89539.5596,61400.011,131904.32,-19745.12,-19858.18,25000,0,0,0,0,0.002735595,0.002499635,0.001793492,0.00110223,0,25000,0.000933694,25000,0.000933694,750,114225
19527,201806,AA,36,6,26775370,0.071388604,21777629.1,20869152.67,779834.95,649592.574028629,129495.282367034,908476.43,238229.2723,56161.6844,75631.7433,121844.36,-18291.05,-18404.95,0,0,0,0,0,0.007098418,0.005560962,0.002982861,0.001437427,0.000746165,25000,0.000933694,25000,0.000933694,750,114225
19528,201806,AA,36,7,26775370,0.071388604,20869152.67,19840492,768522.65,643795.720093574,124121.627445955,1008681.83,283090.7846,42314.3184,68626.207,137109.71,-20501.02,-20922.14,19978.84,0,0,0,0,0.005969314,0.005642183,0.004053827,0.001900995,0.000691262,44978.84,0.001679859,44978.84,0.001679859,750,114225
19529,201806,AA,36,8,26775370,0.071388604,19840492,18915949.84,756065.09,637904.648720911,118037.690750543,905358.36,266078.5495,60470.3499,69586.0506,110263.5,-16524.02,-16854.13,18508.8,260,0,1762.77,1674.63,0.007008288,0.006839129,0.002219575,0.002219575,0.000706143,63487.64,0.002371121,61553.01,0.002298867,750,114225
